x, y
0.30142,0.0611
0.30424,0.05684
0.30517,0.04931
0.30564,0.04178
0.30657,0.03425
0.30703,0.02672
0.3075,0.01919
0.30973,0.00691
0.30983,0.01261
0.31216,0.02013
0.31402,0.02766
0.31588,0.03519
0.31868,0.04178
0.32101,0.03613
0.32287,0.0286
0.32567,0.02202
0.32939,0.0239
0.33312,0.03049
0.33685,0.03425
0.34057,0.03613
0.3443,0.04178
0.34709,0.04931
0.35035,0.05684
0.35408,0.06436
0.35781,0.06531
0.36153,0.06531
0.36526,0.06531
0.36899,0.06531
0.37271,0.05966
0.37644,0.05307
0.38017,0.04837
0.38389,0.0446
0.38762,0.0399
0.39135,0.03707
0.39507,0.03237
0.3988,0.03143
0.40253,0.02954
0.40625,0.0286
0.40998,0.02578
0.4137,0.02484
0.41743,0.0239
0.42116,0.0239
0.42488,0.0239
0.42861,0.02202
0.43234,0.02296
0.43606,0.02296
0.43979,0.02296
0.44352,0.02202
0.44724,0.02202
0.45097,0.02296
0.4547,0.0239
0.45842,0.0239
0.46215,0.0239
0.46588,0.02484
0.4696,0.02578
0.47333,0.02484
0.47706,0.0239
0.48078,0.02296
0.48451,0.02296
0.48824,0.0239
0.49196,0.02578
0.49569,0.02954
0.49941,0.03519
0.50314,0.04084
0.5064,0.04837
0.5092,0.05589
0.51059,0.06342
0.51199,0.07095
0.51339,0.07848
0.51432,0.08601
0.51572,0.09354
0.51712,0.10107
0.51758,0.10859
0.51898,0.11612
0.51991,0.12365
0.52084,0.13118
0.52131,0.13871
0.52224,0.14624
0.52317,0.15377
0.52364,0.16129
0.5241,0.16882
0.5255,0.17635
0.52643,0.18388
0.52736,0.19141
0.5283,0.19894
0.52923,0.20647
0.52969,0.21399
0.53062,0.22152
0.53156,0.22905
0.53202,0.23658
0.53295,0.24411
0.53389,0.25164
0.53435,0.25917
0.53621,0.26669
0.53761,0.27422
0.53901,0.28175
0.54041,0.28928
0.54227,0.29681
0.54413,0.30434
0.54646,0.31187
0.54879,0.31939
0.55205,0.32598
0.55578,0.33257
0.55951,0.33821
0.56323,0.34198
0.56696,0.34574
0.57068,0.34951
0.57441,0.35421
0.57814,0.35892
0.58186,0.36268
0.58559,0.36645
0.58932,0.37209
0.59304,0.37492
0.59677,0.37962
0.6005,0.38245
0.60422,0.38621
0.60795,0.38903
0.61168,0.39091
0.6154,0.3928
0.61913,0.39374
0.62286,0.39374
0.62658,0.3928
0.63031,0.39186
0.63404,0.39091
0.63776,0.38997
0.64149,0.38903
0.64522,0.38809
0.64894,0.38715
0.65267,0.38809
0.6564,0.38621
0.66012,0.38433
0.66385,0.38433
0.66757,0.38433
0.6713,0.38339
0.67503,0.38245
0.67875,0.3815
0.68248,0.38245
0.68621,0.38245
0.68971,0.38119
0.6931,0.37953
0.69702,0.37979
0.70025,0.37914
