x, y
0.30008,0.11755
0.30107,0.1067
0.30303,0.09586
0.305,0.08502
0.30745,0.08068
0.30991,0.08285
0.31237,0.09152
0.31482,0.10237
0.31728,0.10454
0.31974,0.09803
0.3217,0.08719
0.32416,0.07635
0.32612,0.07201
0.32858,0.07418
0.33103,0.07418
0.33349,0.07418
0.33595,0.07418
0.3384,0.08068
0.34086,0.08068
0.34332,0.08936
0.34577,0.09586
0.34823,0.10237
0.35068,0.10454
0.35314,0.10454
0.3556,0.10237
0.35805,0.09803
0.36051,0.09369
0.36297,0.09369
0.36542,0.08936
0.36788,0.08285
0.37034,0.07851
0.37279,0.07418
0.37525,0.06984
0.3777,0.06767
0.38016,0.0655
0.38262,0.06333
0.38507,0.06333
0.38753,0.06117
0.38999,0.05683
0.39244,0.05249
0.3949,0.04816
0.39736,0.04599
0.39981,0.04599
0.40227,0.04599
0.40472,0.04816
0.40718,0.04816
0.40964,0.04816
0.41209,0.04816
0.41455,0.04816
0.41701,0.04816
0.41946,0.04599
0.42192,0.04599
0.42437,0.04599
0.42683,0.04599
0.42929,0.04382
0.43174,0.04382
0.4342,0.04382
0.43666,0.04382
0.43911,0.04382
0.44157,0.04382
0.44403,0.04382
0.44648,0.04382
0.44894,0.04382
0.45139,0.04382
0.45385,0.04382
0.45631,0.04382
0.45876,0.04382
0.46122,0.04382
0.46368,0.04599
0.46613,0.04599
0.46859,0.04382
0.47105,0.04382
0.4735,0.04382
0.47596,0.04382
0.47841,0.04382
0.48087,0.04165
0.48333,0.04382
0.48578,0.05249
0.48824,0.06117
0.4907,0.07201
0.49217,0.08285
0.49413,0.09369
0.49512,0.10454
0.49659,0.11538
0.49806,0.12622
0.49905,0.13706
0.50052,0.1479
0.5015,0.15875
0.50298,0.16959
0.50396,0.18043
0.50494,0.19127
0.50642,0.20212
0.50789,0.21296
0.50936,0.2238
0.51084,0.23464
0.5128,0.24549
0.51428,0.25633
0.51624,0.26717
0.51722,0.27801
0.51919,0.28886
0.52115,0.2997
0.52361,0.31054
0.52607,0.32138
0.52852,0.33222
0.53098,0.34307
0.53344,0.35174
0.53589,0.35825
0.53835,0.36692
0.5408,0.37343
0.54326,0.3821
0.54572,0.39077
0.54817,0.39728
0.55063,0.40378
0.55309,0.41029
0.55554,0.41896
0.558,0.4233
0.56046,0.42981
0.56291,0.43631
0.56537,0.44282
0.56782,0.44715
0.57028,0.45149
0.57274,0.458
0.57519,0.46233
0.57765,0.46884
0.58011,0.47318
0.58256,0.47751
0.58502,0.48185
0.58748,0.48402
0.58993,0.48835
0.59239,0.49052
0.59484,0.49486
0.5973,0.4992
0.59976,0.50137
0.60221,0.50353
0.60467,0.5057
0.60713,0.50787
0.60958,0.51221
0.61204,0.51438
0.61449,0.51871
0.61695,0.52088
0.61941,0.52088
0.62186,0.52522
0.62432,0.52522
0.62678,0.52956
0.62923,0.52956
0.63169,0.53172
0.63415,0.53606
0.6366,0.53606
0.63906,0.53823
0.64151,0.5404
0.64397,0.5404
0.64643,0.54474
0.64888,0.5469
0.65134,0.54907
0.6538,0.54907
0.65625,0.55124
0.65871,0.55124
0.66117,0.55341
0.66362,0.55558
0.66608,0.55991
0.66853,0.55991
0.67099,0.56208
0.67345,0.56208
0.6759,0.56642
0.67836,0.57076
0.68082,0.57509
0.68327,0.57509
0.68573,0.57943
0.68818,0.57943
0.69114,0.57968
0.69445,0.58078
0.69736,0.58243
0.7007,0.58243
