x, y
0.30019,0.03961
0.30299,0.03301
0.30578,0.02641
0.30811,0.01982
0.31007,0.01541
0.31137,0.02076
0.3137,0.02736
0.31696,0.03301
0.32022,0.03207
0.32254,0.02547
0.32487,0.01888
0.32813,0.01699
0.33139,0.01888
0.3344,0.0209
0.33698,0.02547
0.34024,0.0283
0.34303,0.03489
0.34443,0.04149
0.34582,0.04809
0.34629,0.05468
0.34769,0.06128
0.34862,0.06787
0.34908,0.07447
0.35002,0.08107
0.35095,0.08766
0.35141,0.09426
0.35234,0.10085
0.35374,0.10745
0.35467,0.11405
0.35514,0.12064
0.35653,0.12724
0.35747,0.13384
0.3584,0.14043
0.35979,0.14703
0.36119,0.15362
0.36305,0.16022
0.36445,0.16682
0.36724,0.17341
0.37004,0.18001
0.37283,0.1866
0.37516,0.1932
0.37702,0.1998
0.3788,0.20571
0.38056,0.21214
0.38182,0.21802
0.38307,0.2243
0.38447,0.23089
0.38633,0.23749
0.3882,0.24408
0.39006,0.25068
0.39285,0.25728
0.39611,0.26387
0.39937,0.26764
0.40263,0.26953
0.40589,0.26953
0.40915,0.26953
0.41241,0.27141
0.41567,0.27235
0.41893,0.27518
0.42219,0.27612
0.42544,0.27801
0.4287,0.28083
0.43196,0.2846
0.43522,0.28837
0.43848,0.29214
0.44174,0.29591
0.445,0.29779
0.44826,0.30062
0.45152,0.30062
0.45478,0.30062
0.45804,0.29874
0.4613,0.29685
0.46456,0.29402
0.46782,0.2912
0.47107,0.28837
0.47433,0.28554
0.47759,0.28083
0.48085,0.27518
0.48411,0.26953
0.48737,0.26293
0.49063,0.25633
0.49389,0.24974
0.49668,0.24314
0.49901,0.23654
0.50181,0.22995
0.5046,0.22335
0.50739,0.21676
0.50972,0.21016
0.51205,0.20356
0.51345,0.19697
0.51624,0.19037
0.51857,0.18378
0.5209,0.17718
0.52322,0.17058
0.52555,0.16399
0.52835,0.15739
0.53114,0.1508
0.53347,0.1442
0.53673,0.1376
0.53999,0.13101
0.54324,0.12441
0.5465,0.11876
0.54976,0.1131
0.55302,0.10839
0.55628,0.10462
0.55954,0.10085
0.5628,0.09803
0.56606,0.09614
0.56932,0.09332
0.57258,0.09143
0.57584,0.08955
0.5791,0.0886
0.58236,0.08672
0.58562,0.08672
0.58887,0.08578
0.59213,0.08578
0.59539,0.08578
0.59865,0.08578
0.60191,0.08578
0.60517,0.08578
0.60843,0.08578
0.61169,0.08672
0.61495,0.08672
0.61821,0.08672
0.62147,0.08672
0.62473,0.08672
0.62799,0.08672
0.63125,0.08672
0.6345,0.08766
0.63776,0.0886
0.64102,0.0886
0.64428,0.0886
0.64754,0.0886
0.6508,0.0886
0.65406,0.08955
0.65732,0.09049
0.66058,0.09049
0.66384,0.09049
0.6671,0.09143
0.67036,0.09143
0.67362,0.09332
0.67688,0.09332
0.68014,0.09332
0.68339,0.0952
0.68674,0.09649
0.69047,0.09676
0.69331,0.09796
0.69704,0.09881
0.70007,0.09984
