x, y
0.30018,0.02869
0.30111,0.02869
0.30439,0.03041
0.30767,0.03558
0.31095,0.03558
0.31422,0.03213
0.3175,0.03558
0.32078,0.04074
0.32406,0.04419
0.32734,0.04074
0.33061,0.04246
0.33389,0.05107
0.33717,0.05624
0.34045,0.06485
0.34279,0.0769
0.34466,0.08895
0.3456,0.101
0.34654,0.11305
0.34794,0.1251
0.34841,0.13716
0.34935,0.14921
0.35028,0.16126
0.35169,0.17331
0.35216,0.18536
0.35356,0.19741
0.3545,0.20947
0.3559,0.22152
0.35778,0.23357
0.35918,0.24562
0.36105,0.25767
0.36293,0.26972
0.36527,0.28178
0.36808,0.29383
0.37089,0.30588
0.37276,0.31793
0.3751,0.32998
0.37557,0.34203
0.3773,0.35362
0.37872,0.36516
0.37976,0.37682
0.38083,0.38919
0.38168,0.40278
0.38277,0.41675
0.38369,0.42905
0.38455,0.44284
0.3855,0.45651
0.38632,0.46987
0.38735,0.48447
0.38814,0.49818
0.3891,0.51247
0.39014,0.52666
0.39142,0.54117
0.39263,0.55445
0.39384,0.56892
0.39539,0.58285
0.39618,0.59684
0.39945,0.60889
0.40273,0.6175
0.40601,0.62095
0.40929,0.62267
0.41257,0.62611
0.41584,0.62955
0.41912,0.63472
0.4224,0.63816
0.42568,0.64161
0.42896,0.64849
0.43224,0.65538
0.43551,0.66227
0.43879,0.66743
0.44207,0.6726
0.44535,0.67604
0.44863,0.67776
0.4519,0.6812
0.45518,0.68465
0.45846,0.68465
0.46174,0.68293
0.46502,0.68293
0.46829,0.6812
0.47157,0.68293
0.47485,0.68465
0.47813,0.69326
0.48141,0.6967
0.48468,0.69842
0.48796,0.69326
0.49124,0.68981
0.49452,0.68637
0.4978,0.68637
0.50107,0.68637
0.50435,0.68637
0.50763,0.68637
0.51091,0.68637
0.51419,0.68465
0.51747,0.68293
0.52074,0.68293
0.52386,0.68831
0.52707,0.68615
0.53058,0.67948
0.53386,0.67432
0.53713,0.67432
0.54041,0.6726
0.54369,0.66915
0.54697,0.66743
0.55025,0.66571
0.55352,0.66399
0.5568,0.66054
0.56008,0.66054
0.56336,0.65882
0.56664,0.65882
0.56991,0.65538
0.57319,0.65366
0.57647,0.65021
0.57975,0.64849
0.58303,0.65194
0.5863,0.65366
0.58958,0.65366
0.59286,0.65538
0.59614,0.65538
0.59942,0.65538
0.60269,0.65366
0.60597,0.65194
0.60925,0.64849
0.61253,0.64505
0.61581,0.64333
0.61909,0.64333
0.62236,0.64333
0.62564,0.64333
0.62892,0.63988
0.6322,0.63816
0.63548,0.63472
0.63875,0.63472
0.64203,0.63128
0.64531,0.62955
0.64859,0.62955
0.65187,0.62611
0.65544,0.6268
0.65927,0.62416
0.66311,0.61922
0.66638,0.61922
0.66966,0.61922
0.67294,0.6175
0.67622,0.61234
0.6795,0.61234
0.68277,0.60889
0.68605,0.60717
0.6898,0.60385
0.69303,0.60425
0.69678,0.60554
0.70019,0.60407
