x, y
0.30101,0.02479
0.30395,0.03776
0.3069,0.0356
0.30985,0.02695
0.3128,0.02046
0.31574,0.0183
0.31869,0.02911
0.32164,0.02911
0.32458,0.02263
0.32753,0.0183
0.33048,0.01614
0.33342,0.0183
0.33637,0.0183
0.33932,0.0183
0.34227,0.0183
0.34521,0.02046
0.34816,0.02046
0.35111,0.02695
0.35405,0.03344
0.357,0.0356
0.35995,0.03992
0.36289,0.04425
0.36584,0.04641
0.36879,0.04641
0.37174,0.04425
0.37468,0.04425
0.37763,0.04425
0.38058,0.04425
0.38352,0.04641
0.38647,0.04641
0.38942,0.04641
0.39236,0.04641
0.39531,0.04641
0.39826,0.04425
0.4012,0.04208
0.40415,0.03776
0.4071,0.0356
0.41005,0.03344
0.41299,0.03127
0.41594,0.03127
0.41889,0.02695
0.42183,0.02695
0.42478,0.02695
0.42773,0.02695
0.43067,0.02695
0.43362,0.02695
0.43657,0.02479
0.43952,0.02479
0.44246,0.02479
0.44541,0.02479
0.44836,0.02479
0.4513,0.02479
0.45425,0.02479
0.4572,0.02479
0.46014,0.02479
0.46309,0.02479
0.46604,0.02479
0.46899,0.02479
0.47193,0.02479
0.47488,0.02479
0.47783,0.02479
0.48077,0.02046
0.48372,0.02046
0.48667,0.02046
0.48961,0.02046
0.49256,0.02046
0.49551,0.02046
0.49846,0.02046
0.5014,0.02046
0.50435,0.02046
0.5073,0.02046
0.51024,0.02263
0.51319,0.02263
0.51614,0.02263
0.51908,0.02479
0.52203,0.02479
0.52498,0.02479
0.52793,0.02695
0.53087,0.02695
0.53382,0.03127
0.53677,0.03127
0.53971,0.03344
0.54266,0.0356
0.54561,0.04425
0.54855,0.05073
0.5515,0.05722
0.55445,0.06587
0.5574,0.07668
0.56034,0.08532
0.5628,0.0983
0.56575,0.10911
0.56771,0.12208
0.57017,0.13505
0.57213,0.14802
0.5736,0.16099
0.57459,0.17397
0.57709,0.18398
0.57895,0.19643
0.58058,0.20985
0.58195,0.22369
0.58441,0.2345
0.58637,0.24748
0.58785,0.26045
0.5903,0.27342
0.59227,0.28639
0.59423,0.29936
0.59669,0.31234
0.59964,0.32531
0.60258,0.33828
0.60553,0.35125
0.60848,0.3599
0.61142,0.36639
0.61437,0.37503
0.61732,0.38368
0.62026,0.38584
0.62321,0.39017
0.62616,0.39233
0.62911,0.39449
0.63205,0.39665
0.635,0.39665
0.63795,0.39665
0.64089,0.39882
0.64384,0.40314
0.64679,0.40746
0.64973,0.40963
0.65268,0.41611
0.65563,0.42044
0.65858,0.42908
0.66152,0.43773
0.66447,0.44638
0.66742,0.45935
0.67036,0.468
0.67331,0.47449
0.67626,0.48314
0.6792,0.49395
0.68215,0.50043
0.68555,0.50389
0.68865,0.50667
0.69187,0.50667
0.69483,0.50133
0.69747,0.50189
0.70068,0.50189
