x, y
0.39966,0.85525
0.40179,0.85784
0.40428,0.85525
0.40677,0.85267
0.40925,0.85008
0.41174,0.8449
0.41423,0.84231
0.41672,0.83713
0.4192,0.82936
0.42169,0.81901
0.42433,0.80975
0.42722,0.80051
0.42958,0.79195
0.43214,0.77973
0.43451,0.76437
0.43654,0.75389
0.43834,0.74359
0.44084,0.72832
0.44302,0.71302
0.44485,0.69584
0.44642,0.67734
0.44808,0.659
0.44927,0.6403
0.45012,0.61188
0.4519,0.59376
0.45332,0.57563
0.45545,0.55751
0.45794,0.54974
0.46042,0.54457
0.46306,0.53523
0.46546,0.5282
0.4677,0.51879
0.46962,0.50423
0.47037,0.44618
0.4704,0.48266
0.47093,0.45954
0.47144,0.42806
0.47215,0.40993
0.47251,0.39181
0.47322,0.37369
0.47357,0.35556
0.47428,0.33744
0.47464,0.31932
0.47535,0.30119
0.47606,0.28307
0.47677,0.26495
0.47748,0.24682
0.47819,0.2287
0.4789,0.21057
0.47961,0.19245
0.48032,0.17433
0.48139,0.1562
0.48246,0.13808
0.48352,0.11996
0.48459,0.10183
0.48708,0.08371
0.48956,0.08889
0.49223,0.09264
0.49305,0.11068
0.49407,0.13064
0.49509,0.15226
0.49561,0.17497
0.4962,0.19453
0.49661,0.21349
0.49705,0.23191
0.49713,0.24799
0.49726,0.2672
0.49775,0.29105
0.49804,0.30865
0.49804,0.32839
0.49833,0.35309
0.49889,0.37198
0.49916,0.39036
0.49932,0.41287
0.49948,0.45108
0.49958,0.43338
0.49987,0.47423
0.49988,0.49105
0.49997,0.5108
0.50035,0.53242
0.50069,0.55559
0.50093,0.59679
0.50103,0.57732
0.50144,0.61575
0.50184,0.65065
0.50193,0.63612
0.50258,0.67043
0.50299,0.68694
0.5035,0.70369
0.50405,0.72159
0.50461,0.73703
0.5052,0.75946
0.50626,0.77758
0.50769,0.79571
0.50946,0.81383
0.51195,0.82936
0.51444,0.8449
0.51692,0.85267
0.51941,0.86043
0.5219,0.86561
0.52439,0.86561
0.52687,0.86561
0.52936,0.86561
0.53185,0.86561
0.53434,0.86561
0.53682,0.86561
0.53931,0.86561
0.5418,0.8682
0.54429,0.86561
0.54677,0.86561
0.54926,0.86561
0.55175,0.86561
0.55424,0.8682
0.55672,0.8682
0.55921,0.8682
0.5617,0.87079
0.56419,0.87338
0.56667,0.87597
0.56916,0.87597
0.57165,0.87338
0.57414,0.8682
0.57662,0.86043
0.57911,0.85525
0.5816,0.84749
0.58409,0.8449
0.58657,0.83713
0.58906,0.83195
0.59155,0.82936
0.59404,0.82677
0.59652,0.82419
0.59901,0.8216
0.6015,0.82419
0.60399,0.82419
0.60647,0.82936
0.60896,0.83972
0.61145,0.8449
0.61393,0.84749
0.61642,0.84749
0.61891,0.8449
0.62104,0.83713
0.62354,0.82444
0.62582,0.80814
0.62785,0.78837
0.62993,0.7724
0.63135,0.75428
0.63277,0.73616
0.63419,0.71803
0.63561,0.69991
0.63703,0.68179
0.63881,0.66366
0.64059,0.64554
0.64309,0.63497
0.64555,0.64019
0.64767,0.64981
0.64872,0.66465
0.65021,0.68134
0.65112,0.69527
0.65213,0.71071
0.65253,0.7256
0.65297,0.74213
0.65373,0.76982
0.6548,0.78794
0.65729,0.80606
0.65977,0.8216
0.66226,0.83195
0.66475,0.84231
0.66724,0.85008
0.66972,0.85525
0.67221,0.86302
0.6747,0.8682
0.67746,0.868
0.68046,0.87268
