x, y
0.30017,0.0323
0.30253,0.02472
0.30488,0.01715
0.30724,0.01083
0.31007,0.00451
0.31289,0.00325
0.31572,0.00704
0.31854,0.01083
0.32137,0.0083
0.3242,0.00199
0.32702,0.00199
0.32985,0.00199
0.33267,0.00578
0.3355,0.00704
0.33833,0.00704
0.34115,0.00704
0.34398,0.00704
0.3468,0.00704
0.34963,0.0083
0.35246,0.0083
0.35528,0.0083
0.35811,0.0083
0.36093,0.0083
0.36376,0.0083
0.36659,0.01083
0.36941,0.01083
0.37224,0.0083
0.37507,0.0083
0.37789,0.00957
0.38072,0.01083
0.38354,0.01462
0.38637,0.01715
0.3892,0.01841
0.39202,0.02093
0.39485,0.02346
0.39767,0.02725
0.4005,0.02978
0.40333,0.03483
0.40615,0.03862
0.40898,0.04241
0.4118,0.04746
0.41463,0.05251
0.41746,0.05883
0.42028,0.06388
0.42311,0.07146
0.42593,0.07904
0.42829,0.08662
0.43017,0.09419
0.43206,0.10177
0.43394,0.10935
0.43583,0.11693
0.43724,0.12451
0.43865,0.13209
0.44054,0.13966
0.44242,0.14724
0.44383,0.15482
0.4461,0.16211
0.44807,0.1702
0.44956,0.17634
0.44996,0.18261
0.45184,0.18892
0.45325,0.1965
0.45467,0.20408
0.45561,0.21166
0.45702,0.21924
0.45843,0.22682
0.45985,0.2344
0.46079,0.24197
0.4622,0.24955
0.46314,0.25713
0.46456,0.26471
0.46503,0.27229
0.46597,0.27987
0.46644,0.28745
0.46824,0.2939
0.46963,0.30216
0.47053,0.31178
0.47181,0.32038
0.47283,0.32899
0.47395,0.33755
0.47537,0.3475
0.47586,0.35818
0.4768,0.36576
0.47774,0.37334
0.47869,0.38091
0.4801,0.38849
0.48104,0.39607
0.48245,0.40365
0.4834,0.41123
0.48528,0.41754
0.48811,0.42386
0.49093,0.42765
0.49376,0.42891
0.49659,0.42765
0.49941,0.42638
0.50082,0.41881
0.50318,0.41628
0.50601,0.4087
0.50789,0.40112
0.51024,0.39354
0.5126,0.38597
0.51448,0.37839
0.5159,0.37081
0.51731,0.36323
0.51825,0.35565
0.51966,0.34807
0.52014,0.3405
0.52247,0.33392
0.52373,0.32618
0.52532,0.31821
0.52674,0.30956
0.52785,0.30157
0.52861,0.2925
0.53003,0.28492
0.53144,0.27734
0.53238,0.26976
0.53379,0.26218
0.53521,0.25461
0.53709,0.24703
0.5385,0.23945
0.53992,0.23187
0.54133,0.22429
0.54274,0.21671
0.54369,0.20913
0.54416,0.20156
0.54641,0.19749
0.54807,0.19131
0.54981,0.18421
0.55131,0.17762
0.55259,0.171
0.55405,0.16366
0.55593,0.15608
0.55782,0.14851
0.56017,0.14093
0.56206,0.13335
0.56394,0.12577
0.56535,0.11819
0.56725,0.11362
0.56912,0.10667
0.57148,0.09546
0.5743,0.08914
0.57713,0.08156
0.57995,0.07525
0.58278,0.06893
0.58561,0.06388
0.58843,0.05883
0.59126,0.05504
0.59344,0.05108
0.59597,0.04746
0.59879,0.04493
0.60162,0.04114
0.60445,0.03862
0.60727,0.03609
0.6101,0.03483
0.61292,0.0323
0.61575,0.02978
0.61858,0.02851
0.6214,0.02599
0.62423,0.02472
0.62705,0.02472
0.62988,0.02346
0.63271,0.0222
0.63553,0.02093
0.63836,0.02093
0.64118,0.02093
0.64401,0.01967
0.64684,0.01841
0.64966,0.01841
0.65249,0.01841
0.65531,0.01841
0.65814,0.01841
0.66097,0.01841
0.66379,0.01841
0.66662,0.01841
0.66945,0.01967
0.67227,0.02093
0.6751,0.02093
0.67792,0.0222
0.68075,0.02472
0.68376,0.02513
0.68717,0.02811
0.6904,0.03149
0.69369,0.03603
0.69621,0.04122
0.6989,0.04641
0.70116,0.05158
