x, y
0.32896,0.02277
0.33177,0.02449
0.32615,0.02792
0.30088,0.02963
0.30369,0.02963
0.33457,0.02963
0.32053,0.03135
0.34085,0.03239
0.3065,0.03306
0.3093,0.03306
0.31211,0.03306
0.31492,0.03306
0.31773,0.03306
0.32334,0.03306
0.33738,0.03306
0.34359,0.03374
0.29948,0.03821
0.43986,0.03992
0.44267,0.03992
0.44548,0.03992
0.44829,0.03992
0.43705,0.04164
0.45109,0.04164
0.41459,0.04335
0.4174,0.04335
0.42021,0.04335
0.42302,0.04335
0.42582,0.04335
0.42863,0.04335
0.43144,0.04335
0.43425,0.04335
0.4539,0.04335
0.47974,0.04453
0.34627,0.04507
0.45671,0.04507
0.47636,0.04507
0.48308,0.04639
0.41179,0.04678
0.45952,0.04678
0.46232,0.04678
0.46513,0.04678
0.46794,0.04678
0.47075,0.04678
0.47355,0.04678
0.40898,0.0485
0.40617,0.05021
0.48545,0.05146
0.34861,0.05193
0.40336,0.05193
0.39775,0.05364
0.40055,0.05364
0.39494,0.05535
0.39213,0.05707
0.48824,0.05913
0.35095,0.06221
0.38464,0.06221
0.38745,0.06221
0.38184,0.06564
0.37903,0.06907
0.48999,0.07041
0.37622,0.07079
0.35376,0.0725
0.37341,0.0725
0.35657,0.07593
0.37061,0.07593
0.35937,0.07765
0.3678,0.07936
0.36218,0.08108
0.36499,0.08108
0.49142,0.0835
0.49275,0.0934
0.49423,0.10533
0.49508,0.1188
0.49555,0.12909
0.49648,0.13938
0.49695,0.14967
0.49742,0.15996
0.49836,0.17024
0.49882,0.18053
0.49929,0.19082
0.50023,0.20111
0.5007,0.2114
0.50163,0.22169
0.5021,0.23198
0.50257,0.24226
0.5035,0.25255
0.50397,0.26284
0.50444,0.27313
0.50538,0.28342
0.50584,0.29371
0.50678,0.304
0.50725,0.31428
0.50771,0.32457
0.50818,0.33486
0.50912,0.34515
0.51005,0.35544
0.51052,0.36573
0.51146,0.37602
0.51146,0.38631
0.51239,0.39659
0.51286,0.40688
0.5138,0.41717
0.51427,0.42746
0.5152,0.43775
0.51614,0.44804
0.51707,0.45833
0.51801,0.46861
0.51895,0.4789
0.51988,0.48919
0.52129,0.49948
0.52175,0.50977
0.52269,0.52006
0.52363,0.53035
0.5255,0.54063
0.52737,0.55092
0.52971,0.56121
0.53205,0.5715
0.53439,0.58179
0.5372,0.59036
0.54,0.59722
0.54281,0.60065
0.54562,0.6058
0.54843,0.60923
0.55123,0.61437
0.55404,0.6178
0.55685,0.62294
0.55966,0.62637
0.56246,0.63152
0.56527,0.63666
0.56808,0.64181
0.57089,0.64695
0.5737,0.65209
0.5765,0.65552
0.57931,0.66067
0.58212,0.66581
0.58493,0.67096
0.58773,0.67439
0.59054,0.67953
0.59335,0.68296
0.59616,0.68982
0.59896,0.69325
0.60177,0.69668
0.60458,0.70182
0.60739,0.70525
0.6102,0.7104
0.613,0.71726
0.61581,0.7224
0.61862,0.72926
0.62143,0.7344
0.62423,0.74126
0.62704,0.74469
0.62985,0.74812
0.63266,0.75327
0.63547,0.75841
0.63827,0.76184
0.64108,0.76527
0.64389,0.76698
0.6467,0.77041
0.6495,0.77213
0.65231,0.77384
0.65512,0.77556
0.65793,0.77727
0.66073,0.77899
0.66354,0.7807
0.66635,0.7807
0.66916,0.78242
0.67197,0.78413
0.67477,0.78585
0.68385,0.78686
0.67758,0.78756
0.68039,0.78756
0.6871,0.78952
0.69056,0.79329
0.69412,0.79506
0.69746,0.79506
0.70052,0.79551
