x, y
0.29975,0.09462
0.3021,0.08704
0.30446,0.07945
0.30681,0.07187
0.30916,0.06429
0.31199,0.0605
0.31481,0.05797
0.31764,0.06176
0.32046,0.06176
0.32329,0.0567
0.32611,0.05797
0.32894,0.06176
0.33176,0.06808
0.33459,0.07313
0.33741,0.07693
0.34024,0.07945
0.34306,0.08451
0.34588,0.0883
0.34871,0.09083
0.35153,0.09083
0.35436,0.0883
0.35718,0.08324
0.36001,0.07693
0.36283,0.0744
0.36566,0.07187
0.36848,0.06808
0.37131,0.06555
0.37413,0.06302
0.37696,0.06176
0.37978,0.06176
0.38261,0.06429
0.38543,0.06808
0.38825,0.0744
0.39061,0.08198
0.39249,0.08956
0.39485,0.09715
0.39579,0.10473
0.3972,0.11231
0.39861,0.1199
0.39955,0.12748
0.40097,0.13506
0.40191,0.14264
0.40285,0.15023
0.40379,0.15781
0.40473,0.16539
0.40567,0.17298
0.40662,0.18056
0.40803,0.18814
0.4085,0.19572
0.40985,0.20404
0.41083,0.21235
0.41132,0.221
0.41226,0.22858
0.41321,0.23617
0.41415,0.24375
0.41509,0.25133
0.41556,0.25892
0.4165,0.2665
0.41744,0.27408
0.41791,0.28166
0.41886,0.28925
0.4198,0.29683
0.42027,0.30441
0.42121,0.312
0.42215,0.31958
0.42309,0.32716
0.42403,0.33475
0.42498,0.34233
0.42592,0.34991
0.42686,0.35749
0.4278,0.36508
0.42874,0.37266
0.42968,0.38024
0.43063,0.38783
0.43157,0.39541
0.43251,0.40299
0.43345,0.41057
0.43392,0.41816
0.43439,0.42574
0.43653,0.43356
0.43787,0.44425
0.43916,0.45232
0.44017,0.46024
0.44098,0.46745
0.44192,0.47503
0.44334,0.48261
0.44428,0.4902
0.44616,0.49778
0.44757,0.50536
0.44946,0.51294
0.45087,0.52053
0.45275,0.52811
0.45463,0.53569
0.45746,0.54201
0.46028,0.54707
0.46311,0.5496
0.46593,0.55086
0.46876,0.55086
0.47158,0.5496
0.47441,0.54707
0.47723,0.54454
0.48006,0.54075
0.48241,0.53317
0.48476,0.52558
0.48712,0.518
0.48947,0.51042
0.49089,0.50283
0.49277,0.49525
0.49418,0.48767
0.49606,0.48008
0.49795,0.4725
0.49983,0.46492
0.50124,0.45734
0.50265,0.44975
0.50407,0.44217
0.50548,0.43459
0.50689,0.427
0.5083,0.41942
0.50972,0.41184
0.51113,0.40426
0.51207,0.39667
0.51348,0.38909
0.51442,0.38151
0.51584,0.37392
0.51678,0.36634
0.51819,0.35876
0.51866,0.35117
0.5196,0.34359
0.5212,0.33806
0.52243,0.33222
0.52384,0.32463
0.52525,0.31705
0.52619,0.30947
0.52761,0.30189
0.52855,0.2943
0.52949,0.28672
0.5309,0.27914
0.53231,0.27155
0.53373,0.26397
0.53514,0.25639
0.53702,0.24881
0.53843,0.24122
0.53985,0.23364
0.54126,0.22606
0.54267,0.21847
0.54361,0.21089
0.54502,0.20331
0.54691,0.19572
0.54832,0.18814
0.55007,0.18214
0.55161,0.17521
0.553,0.16844
0.55444,0.16034
0.55679,0.15275
0.55868,0.14517
0.56103,0.13759
0.56291,0.13001
0.5648,0.12242
0.56762,0.11484
0.57045,0.10726
0.57327,0.10094
0.5761,0.09462
0.57892,0.08956
0.58175,0.08324
0.58457,0.07819
0.5874,0.0744
0.59022,0.06934
0.59304,0.06681
0.59587,0.06302
0.59964,0.0567
0.60246,0.05544
0.60528,0.05165
0.60811,0.05039
0.61093,0.04786
0.61376,0.04533
0.61658,0.0428
0.61941,0.04154
0.62223,0.04027
0.62506,0.03901
0.62788,0.03648
0.63071,0.03522
0.63353,0.03522
0.63636,0.03396
0.63918,0.03396
0.64201,0.03396
0.64483,0.03143
0.64766,0.03143
0.65048,0.03143
0.6533,0.03143
0.65613,0.03143
0.65895,0.03143
0.66178,0.03143
0.6646,0.03143
0.66743,0.03143
0.67025,0.03269
0.67308,0.03269
0.6759,0.03396
0.67873,0.03522
0.68155,0.03648
0.68474,0.03924
0.68782,0.04219
0.69093,0.04593
0.69349,0.05009
0.69587,0.05561
0.69828,0.06063
0.70087,0.06644
