Category,Filename,Title,Spectrum type,Real data or calculated model?,Image path,Image link,Big image path,Big image link,How,Source (text),Source (hyperlink),Source 2 (text),Source 2 (hyperlink),Credit,Additional Info,Notes
Lamps,LED_604nm,LED 604 nm,Emission,,,https://drive.google.com/file/d/1uCCCWkeZVTP_XcsmEd-NzqInzawwAFWF/view?usp=drive_link,,,,SI Data Labs Team,,,,Frank Sienkiewicz,,
Lamps,LED_626nm,LED 626 nm,Emission,,,https://drive.google.com/file/d/1HpcEcj7MFIpH6XJ0LkftUlHcDW0pA2qp/view?usp=drive_link,,,,SI Data Labs Team,,,,Frank Sienkiewicz,,
Lamps,LED_640nm,LED 640 nm,Emission,,,https://drive.google.com/file/d/10rt-fxkbSpOl8wYpJFxfpdaihmc3qU8K/view?usp=drive_link,,,,SI Data Labs Team,,,,Frank Sienkiewicz,,
Stars,O_Star,O Star,Emission,,,,,,,,,,,,,
Stars,B_Star,B Star,Emission,,,,,,,,,,,,,
Stars,A_Star,A Star,Emission,,,,,,,,,,,,,
Stars,F_Star,F Star,Emission,,,,,,,,,,,,,
Stars,G_Star,G Star,Emission,,,,,,,,,,,,,
Stars,K_Star,K Star,Emission,,,,,,,,,,,,,
Stars,M_Star,M Star,Emission,,,,,,,,,,,,,
Stars,sun_ref_colina96,Sun,Emission,,,roy ,,,,,,,,,,
Nature,Tree_in_Summer_Reflection,Tree in Summer Reflection,Reflection,,,,,,,,,,,,,
Nature,Aspen_in_Fall_Reflection,Aspen in Fall Reflection,Reflection,,,roy ,,,,,,,,,,
Nature,Red_Flower_Reflection,Red Flower Reflection,Reflection,,,,,,,,,,,,,
Nature,Pansy_Reflection,Pansy Reflection,Reflection,,Nature/Pansy_Reflection.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Nature/Pansy_Reflection.jpg,,,,,,,,,,
Nature,Cactus_Reflection,Cactus Reflection,Reflection,,Nature/Cactus_Reflection.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Nature/Cactus_Reflection.jpg,,,,,,,,,,
Nature,Lawn_Grass_Reflection,Lawn Grass Reflection,Reflection,,,roy ,,,,,,,,,,
Nature,Moss_Reflection,Moss Reflection,Reflection,,,roy ,,,,,,,,,,
Nature,Lichen_Reflection,Lichen Reflection,Reflection,,,roy ,,,,,,,,,,
Nature,Red_Brick_Reflection,Red Brick Reflection,Reflection,,,roy ,,,,,,,,,,
Nature,Jellyfish_Emission,Jellyfish Emission,Emission,,,roy ,,,,,,,,,,
Nature,Volcano_Emission,Volcano Emission,Emission,,,roy ,,,,,,,,,,
Atoms and Molecules,Hydrogen_Emission,Hydrogen Emission,Emission,,,https://drive.google.com/file/d/1V6C1adUhXsnFLdcTSZBKoCw2IxMKscvJ/view?usp=drive_link,,,,SI Data Labs Team,,,,Frank Sienkiewicz,,
Atoms and Molecules,Helium_Emission,Helium Emission,Emission,,,https://drive.google.com/file/d/1z-A7TaT4e080Xme9OEfSq_l4e5Gz5wxn/view?usp=drive_link,,,,SI Data Labs Team,,,,Frank Sienkiewicz,,
