wavelength (nm),Blue 1
400.884766,0.082442
405.888672,0.099958
410.896851,0.113569
415.909332,0.121381
420.926147,0.128911
425.947266,0.132753
430.972687,0.134358
436.002411,0.134448
441.036438,0.133697
446.074799,0.133532
451.117432,0.131297
456.164398,0.130093
461.215668,0.128567
466.27124,0.125442
471.331116,0.123295
476.395325,0.120885
481.463806,0.119124
486.536621,0.117069
491.613739,0.114951
496.69516,0.113351
501.780914,0.110786
506.870941,0.108466
511.965302,0.106116
517.063965,0.10276
522.166931,0.099355
527.27417,0.096454
532.385742,0.093817
537.501648,0.090752
542.621826,0.088009
547.746338,0.086219
552.875183,0.084655
558.008301,0.083173
563.145691,0.081789
568.287415,0.080726
573.433472,0.079704
578.583862,0.077786
583.738525,0.075915
588.897461,0.074464
594.06073,0.072113
599.228333,0.070322
604.400208,0.069121
609.576416,0.067993
614.756958,0.066399
619.941772,0.065692
625.130859,0.064612
630.32428,0.062906
635.522034,0.061664
640.72406,0.060918
645.93042,0.060231
651.141113,0.060221
656.356079,0.059882
661.575378,0.06001
666.79895,0.06149
672.026855,0.063198
677.259033,0.066042
682.495544,0.069388
687.736389,0.074075
692.981506,0.082355
698.230957,0.092428
703.48468,0.108182
708.742737,0.129757
714.005127,0.159299
719.27179,0.193562
724.542725,0.232954
729.818054,0.275691
735.097595,0.312702
740.381531,0.342028
745.669739,0.366889
750.962219,0.388727
756.259094,0.405532
761.5601810000001,0.416997
766.865662,0.425357
772.175415,0.434373
777.489441,0.440579
782.8078,0.445887
788.130493,0.45402
793.457458,0.46052
798.788757,0.463441
804.124329,0.470372
809.464233,0.476615
814.808472,0.481817
820.156982,0.487358
825.509827,0.496191
830.866943,0.497221
836.228394,0.503118
841.594116,0.509007
846.964172,0.516328
852.338562,0.520529
857.717224,0.521174
863.10022,0.525947
868.487549,0.531666
873.87915,0.541602
879.275024,0.540658
884.675232,0.544388
890.079773,0.549549
895.488586,0.550042
900.901733,0.553703
906.319214,0.559878
911.740967,0.562823
917.166992,0.567593
922.597351,0.569733
928.032043,0.575957
933.471069,0.579381
938.914368,0.584366
944.361938,0.58591
949.813843,0.58359
955.270081,0.595648
960.730591,0.587688
966.195435,0.59025
971.664612,0.600907
977.138062,0.608075
982.615784,0.606484
988.097839,0.603886
993.584229,0.603857
999.074951,0.598984
None,None
999.25,0.621747
1004.859985,0.6255029999999999
1010.460022,0.630113
1016.059998,0.634004
1021.659973,0.638328
1027.25,0.641721
1032.849976,0.645893
1038.449951,0.649928
1044.050049,0.653312
1049.640015,0.6568579999999999
1055.23999,0.660783
1060.829956,0.664824
1066.420044,0.668245
1072.01001,0.671668
1077.609985,0.675416
1083.199951,0.679442
1088.790039,0.6834640000000001
1094.369995,0.6869390000000001
1099.959961,0.690399
1105.550049,0.692852
1111.140015,0.695728
1116.719971,0.6979
1122.310059,0.6994819999999999
1127.890015,0.6998310000000001
1133.47998,0.6988409999999999
1139.060059,0.698778
1144.640015,0.6983729999999999
1150.219971,0.697283
1155.800049,0.695934
1161.390015,0.693234
1166.959961,0.691515
1172.540039,0.689934
1178.119995,0.687628
1183.699951,0.686661
1189.280029,0.6863319999999999
1194.849976,0.687591
1200.430054,0.687875
1206.0,0.6896939999999999
1211.579956,0.691185
1217.150024,0.693773
1222.719971,0.6966359999999999
1228.290039,0.700236
1233.869995,0.703026
1239.439941,0.7062109999999999
1245.01001,0.7093510000000001
1250.579956,0.711869
1256.150024,0.714204
1261.709961,0.715961
1267.280029,0.7169439999999999
1272.849976,0.717817
1278.410034,0.719957
1283.97998,0.7225050000000001
1289.550049,0.725104
1295.109985,0.727939
1300.670044,0.7290840000000001
1306.23999,0.730459
1311.800049,0.731762
1317.359985,0.7320800000000001
1322.920044,0.732031
1328.48999,0.731083
1334.050049,0.72947
1339.609985,0.7270310000000001
1345.160034,0.721885
1350.719971,0.7172689999999999
1356.280029,0.709913
1361.839966,0.704331
1367.400024,0.699982
1372.949951,0.6989449999999999
1378.51001,0.695152
1384.069946,0.690774
1389.619995,0.685099
1395.170044,0.675365
1400.72998,0.6646350000000001
1406.280029,0.651034
1411.839966,0.635493
1417.390015,0.621355
1422.939941,0.608941
1428.48999,0.599333
1434.040039,0.590841
1439.589966,0.5873510000000001
1445.140015,0.58599
1450.689941,0.584272
1456.23999,0.582462
1461.790039,0.581958
1467.339966,0.579194
1472.890015,0.578833
1478.430054,0.57765
1483.97998,0.576394
1489.530029,0.5734319999999999
1495.069946,0.571995
1500.619995,0.573497
1506.160034,0.574554
1511.709961,0.574707
1517.25,0.577843
1522.800049,0.579384
1528.339966,0.581267
1533.880005,0.5831
1539.420044,0.582391
1544.969971,0.585979
1550.51001,0.591599
1556.050049,0.597611
1561.589966,0.602116
1567.130005,0.601353
1572.670044,0.605124
1578.209961,0.604701
1583.75,0.611147
1589.290039,0.614927
1594.829956,0.6223920000000001
1600.369995,0.629889
1605.910034,0.6381060000000001
1611.439941,0.64298
1616.97998,0.64828
1622.52002,0.655508
1628.050049,0.6587270000000001
1633.589966,0.6622279999999999
1639.130005,0.666519
1644.660034,0.668183
1650.199951,0.671204
1655.72998,0.6702640000000001
1661.27002,0.667097
1666.800049,0.662114
1672.339966,0.656021
1677.869995,0.648303
1683.400024,0.641892
1688.939941,0.635097
1694.469971,0.629654
1700.0,0.6265
1705.540039,0.625188
