wavelength (nm),ROI 2
400.884766,0.077836
405.888672,0.098319
410.896851,0.115533
415.909332,0.128295
420.926147,0.132412
425.947266,0.139415
430.972687,0.141331
436.002411,0.145226
441.036438,0.146443
446.074799,0.14694
451.117432,0.146879
456.164398,0.14765
461.215668,0.145855
466.27124,0.145008
471.331116,0.142961
476.395325,0.140765
481.463806,0.13872
486.536621,0.136098
491.613739,0.133589
496.69516,0.130893
501.780914,0.128076
506.870941,0.125895
511.965302,0.123424
517.063965,0.120695
522.166931,0.117903
527.27417,0.115098
532.385742,0.112417
537.501648,0.110402
542.621826,0.108181
547.746338,0.105904
552.875183,0.103732
558.008301,0.102144
563.145691,0.100595
568.287415,0.098504
573.433472,0.096649
578.583862,0.094929
583.738525,0.09336
588.897461,0.091711
594.06073,0.089836
599.228333,0.088842
604.400208,0.086875
609.576416,0.085486
614.756958,0.084034
619.941772,0.082669
625.130859,0.081569
630.32428,0.080606
635.522034,0.080206
640.72406,0.078586
645.93042,0.077819
651.141113,0.07731
656.356079,0.076612
661.575378,0.07561
666.79895,0.075987
672.026855,0.075919
677.259033,0.075953
682.495544,0.075398
687.736389,0.07678
692.981506,0.076441
698.230957,0.077492
703.48468,0.077332
708.742737,0.077752
714.005127,0.077617
719.27179,0.079622
724.542725,0.079263
729.818054,0.081105
735.097595,0.081242
740.381531,0.083353
745.669739,0.081953
750.962219,0.083705
756.259094,0.083976
761.5601810000001,0.084805
766.865662,0.085294
772.175415,0.084572
777.489441,0.084051
782.8078,0.084872
788.130493,0.086049
793.457458,0.087964
798.788757,0.090807
804.124329,0.092869
809.464233,0.092856
814.808472,0.093801
820.156982,0.095528
825.509827,0.099056
830.866943,0.100076
836.228394,0.103594
841.594116,0.104701
846.964172,0.106937
852.338562,0.109505
857.717224,0.112613
863.10022,0.113355
868.487549,0.114918
873.87915,0.118088
879.275024,0.11822
884.675232,0.122066
890.079773,0.122744
895.488586,0.125586
900.901733,0.125343
906.319214,0.129623
911.740967,0.131722
917.166992,0.133845
922.597351,0.138303
928.032043,0.137456
933.471069,0.139674
938.914368,0.146595
944.361938,0.147131
949.813843,0.147833
955.270081,0.151531
960.730591,0.149468
966.195435,0.155611
971.664612,0.159206
977.138062,0.156319
982.615784,0.167766
988.097839,0.176848
993.584229,0.180648
999.074951,0.181991
None,None
999.25,0.197668
1004.859985,0.20238399999999998
1010.460022,0.206911
1016.059998,0.21171500000000001
1021.659973,0.217212
1027.25,0.22274499999999997
1032.849976,0.227875
1038.449951,0.233685
1044.050049,0.23894
1049.640015,0.244988
1055.23999,0.251178
1060.829956,0.257364
1066.420044,0.26335
1072.01001,0.268573
1077.609985,0.275617
1083.199951,0.28289200000000003
1088.790039,0.289767
1094.369995,0.29662
1099.959961,0.304242
1105.550049,0.312391
1111.140015,0.319373
1116.719971,0.326936
1122.310059,0.334007
1127.890015,0.34175700000000003
1133.47998,0.349165
1139.060059,0.357381
1144.640015,0.365322
1150.219971,0.373421
1155.800049,0.38166
1161.390015,0.388828
1166.959961,0.396825
1172.540039,0.405148
1178.119995,0.41263199999999994
1183.699951,0.42079300000000003
1189.280029,0.428508
1194.849976,0.43622299999999997
1200.430054,0.44346800000000003
1206,0.45036499999999996
1211.579956,0.45817700000000006
1217.150024,0.46651499999999996
1222.719971,0.47562
1228.290039,0.485308
1233.869995,0.493303
1239.439941,0.50246
1245.01001,0.5107659999999999
1250.579956,0.519124
1256.150024,0.5268079999999999
