wavelength (nm),White 1
400.884766,0.566578
405.888672,0.588704
410.896851,0.58607
415.909332,0.589619
420.926147,0.598106
425.947266,0.59828
430.972687,0.609937
436.002411,0.617315
441.036438,0.619546
446.074799,0.622531
451.117432,0.627981
456.164398,0.631744
461.215668,0.63605
466.27124,0.637459
471.331116,0.642063
476.395325,0.643738
481.463806,0.645934
486.536621,0.647302
491.613739,0.651307
496.69516,0.65438
501.780914,0.656252
506.870941,0.658772
511.965302,0.662333
517.063965,0.664943
522.166931,0.666421
527.27417,0.670587
532.385742,0.671285
537.501648,0.675301
542.621826,0.676872
547.746338,0.67965
552.875183,0.683339
558.008301,0.684103
563.145691,0.68677
568.287415,0.688797
573.433472,0.689633
578.583862,0.694141
583.738525,0.693229
588.897461,0.694338
594.06073,0.696228
599.228333,0.696988
604.400208,0.698277
609.576416,0.699145
614.756958,0.699709
619.941772,0.699071
625.130859,0.701156
630.32428,0.702528
635.522034,0.705613
640.72406,0.705719
645.93042,0.703635
651.141113,0.706631
656.356079,0.70712
661.575378,0.708301
666.79895,0.710943
672.026855,0.711622
677.259033,0.713571
682.495544,0.712724
687.736389,0.712286
692.981506,0.713912
698.230957,0.714965
703.48468,0.718204
708.742737,0.718054
714.005127,0.718463
719.27179,0.718885
724.542725,0.719546
729.818054,0.718479
735.097595,0.719226
740.381531,0.724243
745.669739,0.725588
750.962219,0.727329
756.259094,0.723231
761.5601810000001,0.724702
766.865662,0.727978
772.175415,0.733126
777.489441,0.729244
782.8078,0.733338
788.130493,0.737897
793.457458,0.743148
798.788757,0.744055
804.124329,0.745765
809.464233,0.749668
814.808472,0.755604
820.156982,0.761821
825.509827,0.763774
830.866943,0.766406
836.228394,0.76745
841.594116,0.768496
846.964172,0.775795
852.338562,0.778536
857.717224,0.780239
863.10022,0.778288
868.487549,0.781953
873.87915,0.784019
879.275024,0.784947
884.675232,0.789033
890.079773,0.792374
895.488586,0.794359
900.901733,0.797452
906.319214,0.794288
911.740967,0.795642
917.166992,0.799415
922.597351,0.800726
928.032043,0.79947
933.471069,0.796245
938.914368,0.807368
944.361938,0.80088
949.813843,0.805209
955.270081,0.804333
960.730591,0.802831
966.195435,0.809183
971.664612,0.798218
977.138062,0.792936
982.615784,0.800107
988.097839,0.808096
993.584229,0.804408
999.074951,0.809291
None,None
999.25,0.797624
1004.859985,0.799679
1010.460022,0.800949
1016.059998,0.8034020000000001
1021.659973,0.8050510000000001
1027.25,0.805833
1032.849976,0.807026
1038.449951,0.809236
1044.050049,0.809339
1049.640015,0.811117
1055.23999,0.813345
1060.829956,0.813919
1066.420044,0.815229
1072.01001,0.816298
1077.609985,0.816992
1083.199951,0.8186439999999999
1088.790039,0.819362
1094.369995,0.8201579999999999
1099.959961,0.822089
1105.550049,0.8234950000000001
1111.140015,0.823892
1116.719971,0.824923
1122.310059,0.825737
1127.890015,0.8265899999999999
1133.47998,0.8269139999999999
1139.060059,0.827343
1144.640015,0.82775
1150.219971,0.8283299999999999
1155.800049,0.8284450000000001
1161.390015,0.827995
1166.959961,0.827984
1172.540039,0.8278200000000001
1178.119995,0.8279549999999999
1183.699951,0.828084
1189.280029,0.8281069999999999
1194.849976,0.827564
1200.430054,0.827371
1206,0.8279790000000001
1211.579956,0.8279799999999999
1217.150024,0.828268
1222.719971,0.8294440000000001
1228.290039,0.8306309999999999
1233.869995,0.8318780000000001
1239.439941,0.833568
1245.01001,0.834619
1250.579956,0.835959
1256.150024,0.836224
1261.709961,0.836511
1267.280029,0.8371370000000001
1272.849976,0.8381549999999999
1278.410034,0.839598
1283.97998,0.8399059999999999
1289.550049,0.841456
1295.109985,0.842899
1300.670044,0.8441270000000001
1306.23999,0.84419
1311.800049,0.844656
1317.359985,0.845132
1322.920044,0.8452379999999999
1328.48999,0.845899
1334.050049,0.8449690000000001
1339.609985,0.843922
1345.160034,0.841677
1350.719971,0.8404299999999999
1356.280029,0.838943
1361.839966,0.836673
1367.400024,0.835242
1372.949951,0.8348969999999999
1378.51001,0.8342209999999999
1384.069946,0.8322209999999999
1389.619995,0.832412
1395.170044,0.830033
1400.72998,0.825679
1406.280029,0.820867
1411.839966,0.815103
1417.390015,0.8087310000000001
1422.939941,0.799063
1428.48999,0.789557
1434.040039,0.782257
1439.589966,0.774857
1445.140015,0.769154
1450.689941,0.7723300000000001
1456.23999,0.78141
1461.790039,0.790945
1467.339966,0.794271
1472.890015,0.79823
1478.430054,0.801076
1483.97998,0.8022819999999999
1489.530029,0.804555
1495.069946,0.806346
1500.619995,0.8075399999999999
1506.160034,0.809611
