wavelength (nm),Red 2 
400.884766,0.156422
405.888672,0.173911
410.896851,0.180843
415.909332,0.195635
420.926147,0.207143
425.947266,0.214369
430.972687,0.222381
436.002411,0.228698
441.036438,0.23124
446.074799,0.234844
451.117432,0.236376
456.164398,0.237752
461.215668,0.238055
466.27124,0.238034
471.331116,0.237817
476.395325,0.235805
481.463806,0.232456
486.536621,0.228493
491.613739,0.225537
496.69516,0.222981
501.780914,0.221362
506.870941,0.219721
511.965302,0.216924
517.063965,0.212801
522.166931,0.208347
527.27417,0.206706
532.385742,0.207815
537.501648,0.211619
542.621826,0.217499
547.746338,0.223864
552.875183,0.228147
558.008301,0.230819
563.145691,0.230542
568.287415,0.23208
573.433472,0.235014
578.583862,0.2458
583.738525,0.261884
588.897461,0.283244
594.06073,0.306561
599.228333,0.331799
604.400208,0.352377
609.576416,0.375688
614.756958,0.391836
619.941772,0.408054
625.130859,0.424262
630.32428,0.434765
635.522034,0.443863
640.72406,0.452028
645.93042,0.459543
651.141113,0.465553
656.356079,0.471049
661.575378,0.474257
666.79895,0.480945
672.026855,0.485515
677.259033,0.489131
682.495544,0.492974
687.736389,0.495745
692.981506,0.497451
698.230957,0.501643
703.48468,0.504213
708.742737,0.506447
714.005127,0.511317
719.27179,0.513739
724.542725,0.517214
729.818054,0.521277
735.097595,0.522221
740.381531,0.526014
745.669739,0.525998
750.962219,0.530393
756.259094,0.537738
761.5601810000001,0.543826
766.865662,0.544744
772.175415,0.550019
777.489441,0.555637
782.8078,0.556674
788.130493,0.561802
793.457458,0.568704
798.788757,0.575849
804.124329,0.578153
809.464233,0.583966
814.808472,0.586479
820.156982,0.595551
825.509827,0.600412
830.866943,0.608886
836.228394,0.609583
841.594116,0.612678
846.964172,0.613495
852.338562,0.625438
857.717224,0.627579
863.10022,0.625636
868.487549,0.637897
873.87915,0.641947
879.275024,0.636824
884.675232,0.642675
890.079773,0.644889
895.488586,0.647889
900.901733,0.648667
906.319214,0.651724
911.740967,0.657565
917.166992,0.665338
922.597351,0.667586
928.032043,0.665325
933.471069,0.670724
938.914368,0.679672
944.361938,0.67195
949.813843,0.673154
955.270081,0.683586
960.730591,0.685823
966.195435,0.6839
971.664612,0.682076
977.138062,0.689287
982.615784,0.684267
988.097839,0.687293
993.584229,0.696385
999.074951,0.667425
999.25,None
1004.859985,0.708465
1010.460022,0.712102
1016.059998,0.7162609999999999
1021.659973,0.7192569999999999
1027.25,0.72328
1032.849976,0.7262270000000001
1038.449951,0.729358
1044.050049,0.732471
1049.640015,0.736326
1055.23999,0.7392529999999999
1060.829956,0.741965
1066.420044,0.743897
1072.01001,0.746945
1077.609985,0.748821
1083.199951,0.750819
1088.790039,0.754405
1094.369995,0.756898
1099.959961,0.7586510000000001
1105.550049,0.761273
1111.140015,0.7641
1116.719971,0.7664850000000001
1122.310059,0.76841
1127.890015,0.769949
1133.47998,0.771438
1139.060059,0.7735310000000001
1144.640015,0.774676
1150.219971,0.774709
1155.800049,0.774686
1161.390015,0.775039
1166.959961,0.774922
1172.540039,0.775192
1178.119995,0.7749050000000001
1183.699951,0.7749119999999999
1189.280029,0.77552
1194.849976,0.775096
1200.430054,0.7758619999999999
1206,0.776413
1211.579956,0.777492
1217.150024,0.7771710000000001
1222.719971,0.778644
1228.290039,0.7800199999999999
1233.869995,0.782675
1239.439941,0.783421
1245.01001,0.7856989999999999
1250.579956,0.788402
1256.150024,0.7887649999999999
1261.709961,0.789467
1267.280029,0.79065
1272.849976,0.792654
1278.410034,0.793407
1283.97998,0.794135
1289.550049,0.795251
1295.109985,0.79688
1300.670044,0.798646
1306.23999,0.799491
1311.800049,0.800713
1317.359985,0.801978
1322.920044,0.8024789999999999
1328.48999,0.802959
1334.050049,0.803084
1339.609985,0.8026760000000001
1345.160034,0.801299
1350.719971,0.799723
1356.280029,0.79787
1361.839966,0.794351
1367.400024,0.791004
1372.949951,0.789874
1378.51001,0.7895909999999999
1384.069946,0.787985
1389.619995,0.787304
1395.170044,0.7864899999999999
1400.72998,0.7824220000000001
1406.280029,0.778207
1411.839966,0.772364
1417.390015,0.764785
1422.939941,0.7564350000000001
1428.48999,0.747109
1434.040039,0.737338
1439.589966,0.729959
1445.140015,0.724851
1450.689941,0.7205199999999999
1456.23999,0.720731
1461.790039,0.724326
1467.339966,0.727859
1472.890015,0.727749
1478.430054,0.728209
1483.97998,0.727796
1489.530029,0.7292
1495.069946,0.730699
1500.619995,0.7327229999999999
1506.160034,0.734009
1511.709961,0.736314
1517.25,0.73687
1522.800049,0.737952
1528.339966,0.7393850000000001
1533.880005,0.741742
1539.420044,0.7402489999999999
1544.969971,0.742541
1550.51001,0.743917
1556.050049,0.7459479999999999
1561.589966,0.74731
1567.130005,0.750487
1572.670044,0.749943
1578.209961,0.753152
1583.75,0.752732
1589.290039,0.7543569999999999
1594.829956,0.7545609999999999
1600.369995,0.758827
1605.910034,0.7618739999999999
1611.439941,0.764545
1616.97998,0.7678590000000001
1622.52002,0.770308
1628.050049,0.7725270000000001
1633.589966,0.776879
1639.130005,0.777933
