wavelength (nm),Green 1 
400.884766,0.050778
405.888672,0.062961
410.896851,0.078758
415.909332,0.087809
420.926147,0.091852
425.947266,0.098982
430.972687,0.105974
436.002411,0.109966
441.036438,0.115032
446.074799,0.121404
451.117432,0.126877
456.164398,0.134024
461.215668,0.140074
466.27124,0.145622
471.331116,0.153288
476.395325,0.159269
481.463806,0.166006
486.536621,0.170127
491.613739,0.175841
496.69516,0.180055
501.780914,0.182582
506.870941,0.184417
511.965302,0.186676
517.063965,0.188068
522.166931,0.187514
527.27417,0.18736
532.385742,0.187465
537.501648,0.185817
542.621826,0.184765
547.746338,0.185179
552.875183,0.185478
558.008301,0.185105
563.145691,0.18647
568.287415,0.18663
573.433472,0.186518
578.583862,0.186705
583.738525,0.184756
588.897461,0.183141
594.06073,0.180975
599.228333,0.179291
604.400208,0.177845
609.576416,0.175873
614.756958,0.174744
619.941772,0.173161
625.130859,0.171253
630.32428,0.169485
635.522034,0.1674
640.72406,0.165862
645.93042,0.163151
651.141113,0.163579
656.356079,0.162802
661.575378,0.16338
666.79895,0.166268
672.026855,0.169154
677.259033,0.175242
682.495544,0.18231
687.736389,0.19438
692.981506,0.208302
698.230957,0.227826
703.48468,0.25416
708.742737,0.287671
714.005127,0.326929
719.27179,0.370019
724.542725,0.415854
729.818054,0.463644
735.097595,0.498234
740.381531,0.528509
745.669739,0.555121
750.962219,0.573005
756.259094,0.584872
761.5601810000001,0.595655
766.865662,0.606595
772.175415,0.614409
777.489441,0.621085
782.8078,0.629933
788.130493,0.631295
793.457458,0.637643
798.788757,0.641336
804.124329,0.646153
809.464233,0.652056
814.808472,0.655805
820.156982,0.659768
825.509827,0.662558
830.866943,0.666184
836.228394,0.670678
841.594116,0.674551
846.964172,0.679427
852.338562,0.680789
857.717224,0.685688
863.10022,0.689732
868.487549,0.688053
873.87915,0.693051
879.275024,0.694481
884.675232,0.696457
890.079773,0.697264
895.488586,0.699601
900.901733,0.700276
906.319214,0.700858
911.740967,0.699353
917.166992,0.701429
922.597351,0.700287
928.032043,0.69864
933.471069,0.700657
938.914368,0.701778
944.361938,0.698861
949.813843,0.704809
