wavelength (nm),ROI 1
400.884766,0.018991
405.888672,0.037363
410.896851,0.049709
415.909332,0.054243
420.926147,0.062956
425.947266,0.064278
430.972687,0.067655
436.002411,0.070133
441.036438,0.070483
446.074799,0.072791
451.117432,0.072884
456.164398,0.072787
461.215668,0.07237
466.27124,0.070857
471.331116,0.069964
476.395325,0.067662
481.463806,0.06611
486.536621,0.063998
491.613739,0.06193
496.69516,0.059421
501.780914,0.057762
506.870941,0.055713
511.965302,0.053656
517.063965,0.052007
522.166931,0.05008
527.27417,0.048007
532.385742,0.046431
537.501648,0.044685
542.621826,0.043437
547.746338,0.042647
552.875183,0.041455
558.008301,0.040476
563.145691,0.039608
568.287415,0.038262
573.433472,0.037412
578.583862,0.037266
583.738525,0.036444
588.897461,0.03585
594.06073,0.035081
599.228333,0.034685
604.400208,0.034104
609.576416,0.033236
614.756958,0.032761
619.941772,0.032574
625.130859,0.032223
630.32428,0.031916
635.522034,0.031602
640.72406,0.031481
645.93042,0.031109
651.141113,0.031329
656.356079,0.030651
661.575378,0.030659
666.79895,0.031369
672.026855,0.031629
677.259033,0.031893
682.495544,0.032234
687.736389,0.03358
692.981506,0.033552
698.230957,0.035204
703.48468,0.036855
708.742737,0.038697
714.005127,0.039589
719.27179,0.040819
724.542725,0.043055
729.818054,0.044748
735.097595,0.045667
740.381531,0.04604
745.669739,0.046508
750.962219,0.04669
756.259094,0.04786
761.5601810000001,0.047355
766.865662,0.047425
772.175415,0.049162
777.489441,0.04823
782.8078,0.049659
788.130493,0.050165
793.457458,0.05032
798.788757,0.051772
804.124329,0.052343
809.464233,0.053022
814.808472,0.05491
820.156982,0.056073
825.509827,0.056078
830.866943,0.05611
836.228394,0.056781
841.594116,0.057856
846.964172,0.059029
852.338562,0.06068
857.717224,0.059801
863.10022,0.060613
868.487549,0.061941
873.87915,0.064878
879.275024,0.063646
884.675232,0.064845
890.079773,0.065785
895.488586,0.065454
900.901733,0.066239
906.319214,0.066873
911.740967,0.068776
917.166992,0.0709
922.597351,0.07026
928.032043,0.072685
933.471069,0.077361
938.914368,0.074352
944.361938,0.074862
949.813843,0.072918
955.270081,0.081266
960.730591,0.08076
966.195435,0.080006
971.664612,0.077381
977.138062,0.08754
982.615784,0.086364
988.097839,0.080421
993.584229,0.099508
999.074951,0.089993
None,None
999.25,0.164198
1004.859985,0.168344
1010.460022,0.172958
1016.059998,0.1777
1021.659973,0.18161
1027.25,0.186426
1032.849976,0.190922
1038.449951,0.196202
1044.050049,0.20115999999999998
1049.640015,0.206508
1055.23999,0.21103200000000003
1060.829956,0.216898
1066.420044,0.22259
1072.01001,0.22753099999999998
1077.609985,0.233679
1083.199951,0.23993
1088.790039,0.246943
1094.369995,0.253154
1099.959961,0.25956999999999997
1105.550049,0.266662
1111.140015,0.273963
1116.719971,0.281484
1122.310059,0.288338
1127.890015,0.295892
1133.47998,0.30346100000000004
1139.060059,0.31147600000000003
1144.640015,0.319556
1150.219971,0.328323
1155.800049,0.33560500000000004
1161.390015,0.343699
1166.959961,0.351509
1172.540039,0.36045
1178.119995,0.36795700000000003
1183.699951,0.377452
1189.280029,0.385894
1194.849976,0.395109
1200.430054,0.403652
1206,0.412684
1211.579956,0.421493
1217.150024,0.42995900000000004
1222.719971,0.439226
1228.290039,0.44871099999999997
1233.869995,0.45906
1239.439941,0.46844600000000003
1245.01001,0.47726999999999997
1250.579956,0.48719399999999996
1256.150024,0.49586899999999995
1261.709961,0.504225
1267.280029,0.513061
1272.849976,0.522458
1278.410034,0.5307149999999999
1283.97998,0.539529
1289.550049,0.548496
1295.109985,0.556555
1300.670044,0.565475
1306.23999,0.574442
1311.800049,0.58233
1317.359985,0.590329
1322.920044,0.597341
1328.48999,0.6045
1334.050049,0.610957
1339.609985,0.616893
1345.160034,0.6221439999999999
1350.719971,0.6255609999999999
1356.280029,0.628132
1361.839966,0.631903
1367.400024,0.635239
1372.949951,0.641147
1378.51001,0.643732
1384.069946,0.646571
1389.619995,0.647803
1395.170044,0.646277
1400.72998,0.645066
1406.280029,0.641676
1411.839966,0.637688
1417.390015,0.637423
1422.939941,0.6398119999999999
1428.48999,0.641505
1434.040039,0.6432439999999999
1439.589966,0.644054
1445.140015,0.644895
1450.689941,0.648393
1456.23999,0.651262
1461.790039,0.6536770000000001
1467.339966,0.653694
1472.890015,0.6556310000000001
1478.430054,0.659179
1483.97998,0.662276
1489.530029,0.665049
1495.069946,0.6692020000000001
1500.619995,0.672913
1506.160034,0.675701
1511.709961,0.678941
1517.25,0.682417
1522.800049,0.686854
1528.339966,0.688469
1533.880005,0.6905439999999999
1539.420044,0.693164
1544.969971,0.6931609999999999
1550.51001,0.69847
1556.050049,0.6974779999999999
1561.589966,0.701384
