wavelength (nm),Yellow 1
400.884766,0.07359
405.888672,0.071861
410.896851,0.074347
415.909332,0.074369
420.926147,0.076107
425.947266,0.07612
430.972687,0.077521
436.002411,0.07845
441.036438,0.07988
446.074799,0.081743
451.117432,0.083556
456.164398,0.085294
461.215668,0.088434
466.27124,0.090956
471.331116,0.09466
476.395325,0.099895
481.463806,0.106391
486.536621,0.113551
491.613739,0.12334
496.69516,0.135389
501.780914,0.152711
506.870941,0.174566
511.965302,0.203789
517.063965,0.23978
522.166931,0.281483
527.27417,0.328945
532.385742,0.378026
537.501648,0.424715
542.621826,0.465548
547.746338,0.497547
552.875183,0.52263
558.008301,0.540013
563.145691,0.552353
568.287415,0.562711
573.433472,0.57164
578.583862,0.579048
583.738525,0.584694
588.897461,0.589797
594.06073,0.595124
599.228333,0.60066
604.400208,0.607153
609.576416,0.608603
614.756958,0.610873
619.941772,0.612893
625.130859,0.617264
630.32428,0.620293
635.522034,0.621659
640.72406,0.623662
645.93042,0.627301
651.141113,0.631698
656.356079,0.632698
661.575378,0.634804
666.79895,0.634787
672.026855,0.636635
677.259033,0.638006
682.495544,0.640225
687.736389,0.643353
692.981506,0.647051
698.230957,0.648932
703.48468,0.64875
708.742737,0.651976
714.005127,0.65579
719.27179,0.655503
724.542725,0.657467
729.818054,0.659693
735.097595,0.661597
740.381531,0.665336
745.669739,0.668512
750.962219,0.66844
756.259094,0.66926
761.5601810000001,0.672703
766.865662,0.672482
772.175415,0.672971
777.489441,0.676516
782.8078,0.686306
788.130493,0.68414
793.457458,0.694257
798.788757,0.698563
804.124329,0.701739
809.464233,0.706511
814.808472,0.708292
820.156982,0.710979
825.509827,0.719264
830.866943,0.719559
836.228394,0.72459
841.594116,0.72818
846.964172,0.73146
852.338562,0.734995
857.717224,0.73813
863.10022,0.737977
868.487549,0.746492
873.87915,0.746401
879.275024,0.747684
884.675232,0.750301
890.079773,0.746295
895.488586,0.751032
900.901733,0.755325
906.319214,0.755086
911.740967,0.76281
917.166992,0.762047
922.597351,0.762387
928.032043,0.758118
933.471069,0.762097
938.914368,0.762257
944.361938,0.770435
949.813843,0.766512
955.270081,0.771288
960.730591,0.772188
966.195435,0.7727
971.664612,0.775452
977.138062,0.767347
982.615784,0.769484
988.097839,0.775789
993.584229,0.787375
999.074951,0.76337
999.25,None
1004.859985,0.772217
1010.460022,0.773758
1016.059998,0.775047
1021.659973,0.777271
1027.25,0.7789659999999999
1032.849976,0.780504
1038.449951,0.7825880000000001
1044.050049,0.784046
1049.640015,0.785959
1055.23999,0.787349
1060.829956,0.7886890000000001
1066.420044,0.7902680000000001
1072.01001,0.793031
1077.609985,0.794263
1083.199951,0.794972
1088.790039,0.796316
1094.369995,0.796894
1099.959961,0.799035
1105.550049,0.800188
1111.140015,0.801095
1116.719971,0.80232
1122.310059,0.804763
1127.890015,0.805342
1133.47998,0.805657
1139.060059,0.8068350000000001
1144.640015,0.807565
1150.219971,0.808148
1155.800049,0.807754
1161.390015,0.807118
1166.959961,0.807024
1172.540039,0.807153
1178.119995,0.8075859999999999
1183.699951,0.807257
1189.280029,0.807475
1194.849976,0.807158
1200.430054,0.807283
1206,0.8074399999999999
1211.579956,0.807654
1217.150024,0.807761
1222.719971,0.8079689999999999
1228.290039,0.809239
1233.869995,0.811191
1239.439941,0.812743
1245.01001,0.814736
1250.579956,0.8147220000000001
1256.150024,0.816032
1261.709961,0.8175819999999999
1267.280029,0.818611
1272.849976,0.8198120000000001
1278.410034,0.821356
1283.97998,0.821717
1289.550049,0.8228610000000001
1295.109985,0.823744
1300.670044,0.825032
1306.23999,0.826074
1311.800049,0.8263940000000001
1317.359985,0.8266889999999999
1322.920044,0.827574
1328.48999,0.828105
1334.050049,0.828277
1339.609985,0.8275379999999999
1345.160034,0.8270959999999999
1350.719971,0.825261
1356.280029,0.823456
1361.839966,0.819625
1367.400024,0.817786
1372.949951,0.816265
1378.51001,0.816774
1384.069946,0.8152189999999999
1389.619995,0.813844
1395.170044,0.813465
1400.72998,0.809974
1406.280029,0.8044439999999999
1411.839966,0.799204
1417.390015,0.792966
1422.939941,0.787145
1428.48999,0.777846
1434.040039,0.769185
1439.589966,0.761037
1445.140015,0.7549819999999999
1450.689941,0.748753
1456.23999,0.752107
1461.790039,0.758047
1467.339966,0.765733
1472.890015,0.767387
1478.430054,0.7692979999999999
1483.97998,0.771698
1489.530029,0.774425
1495.069946,0.776299
1500.619995,0.7781939999999999
1506.160034,0.780222
1511.709961,0.782673
1517.25,0.7841640000000001
1522.800049,0.784125
1528.339966,0.787098
1533.880005,0.7879390000000001
1539.420044,0.788008
1544.969971,0.788917
1550.51001,0.790791
1556.050049,0.7927420000000001
1561.589966,0.795926
1567.130005,0.796901
1572.670044,0.795322
1578.209961,0.798339
1583.75,0.7970659999999999
1589.290039,0.800563
1594.829956,0.8000229999999999
1600.369995,0.8036449999999999
1605.910034,0.803975
1611.439941,0.806836
1616.97998,0.80976
1622.52002,0.811774
1628.050049,0.8134899999999999
1633.589966,0.814365
1639.130005,0.815652
1644.660034,0.816951
1650.199951,0.816925
1655.72998,0.817553
1661.27002,0.815087
1666.800049,0.8152050000000001
1672.339966,0.811905
1677.869995,0.808787
1683.400024,0.809441
1688.939941,0.806843
1694.469971,0.803709
1700,0.799094
1705.540039,0.795589
1711.069946,0.794852
1716.599976,0.79165
1722.130005,0.7891090000000001
1727.660034,0.787561
1733.189941,0.785519
1738.72998,0.78285
1744.26001,0.781354
1749.790039,0.779587
1755.319946,0.778568
1760.849976,0.77773
1766.380005,0.777172
1771.910034,0.776829
1777.439941,0.777209
1782.959961,0.777764
1788.48999,0.776932
1794.02002,0.777655
1799.550049,0.776844
1805.079956,0.775717
1810.609985,0.776462
1816.140015,0.774767
1821.660034,0.772996
1827.189941,0.772442
1832.719971,0.773399
1838.25,0.773059
1843.77002,0.772914
1849.300049,0.7744340000000001
1854.829956,0.774977
1860.349976,0.776287
1865.880005,0.775733
1871.410034,0.772658
1876.930054,0.769402
1882.459961,0.765848
1887.98999,0.7605109999999999
1893.51001,0.749536
1899.040039,0.737204
1904.560059,0.720076
1910.089966,0.699823
1915.609985,0.67987
1921.140015,0.6727350000000001
1926.670044,0.666504
1932.189941,0.6622520000000001
1937.719971,0.659242
1943.23999,0.658151
1948.77002,0.660195
1954.290039,0.662547
1959.819946,0.6655260000000001
1965.339966,0.6690649999999999
1970.869995,0.672465
1976.390015,0.677824
1981.920044,0.683266
1987.439941,0.686032
1992.959961,0.687901
1998.48999,0.69108
2004.01001,0.694164
2009.540039,0.6973729999999999
2015.060059,0.7004100000000001
2020.589966,0.703417
2026.109985,0.705116
2031.640015,0.706526
2037.160034,0.705555
2042.689941,0.704439
2048.209961,0.7020489999999999
2053.72998,0.69814
2059.26001,0.694551
2064.780029,0.691268
2070.310059,0.686776
2075.830078,0.684475
2081.360107,0.681365
2086.879883,0.6784220000000001
2092.409912,0.676974
2097.929932,0.6763399999999999
2103.459961,0.6750520000000001
2108.97998,0.674003
2114.51001,0.673759
2120.030029,0.67743
2125.560059,0.680635
2131.080078,0.683141
2136.610107,0.6860310000000001
2142.129883,0.688448
2147.659912,0.688697
2153.179932,0.689048
2158.709961,0.6892050000000001
2164.22998,0.687934
2169.76001,0.686272
2175.280029,0.684663
2180.810059,0.683495
2186.340088,0.682478
2191.860107,0.6811689999999999
2197.389893,0.6813899999999999
2202.919922,0.679251
2208.439941,0.678374
2213.969971,0.678718
2219.5,0.67878
2225.02002,0.6786840000000001
2230.550049,0.6802600000000001
2236.080078,0.678227
2241.610107,0.675433
2247.129883,0.6692819999999999
2252.659912,0.6619520000000001
2258.189941,0.651145
2263.719971,0.640388
2269.25,0.6292449999999999
2274.77002,0.6224270000000001
2280.300049,0.6218520000000001
2285.830078,0.624504
2291.360107,0.6234729999999999
2296.889893,0.619058
2302.419922,0.6103970000000001
2307.949951,0.599286
2313.47998,0.584693
2319.01001,0.574317
2324.540039,0.5652050000000001
2330.070068,0.562231
2335.600098,0.563016
2341.129883,0.568921
2346.669922,0.577871
2352.199951,0.5881810000000001
2357.72998,0.596015
2363.26001,0.6014510000000001
2368.790039,0.603167
2374.330078,0.6056560000000001
2379.860107,0.608741
2385.389893,0.611362
2390.929932,0.6112810000000001
2396.459961,0.612607
2401.98999,0.6120760000000001
2407.530029,0.610584
2413.060059,0.606843
2418.600098,0.601961
2424.129883,0.599154
2429.669922,0.5938439999999999
2435.209961,0.588164
2440.73999,0.582014
2446.280029,0.574902
2451.820068,0.568005
2457.350098,0.5607800000000001
2462.889893,0.553375
2468.429932,0.546251
2473.969971,0.540392
2479.51001,0.534571
2485.050049,0.531154
2490.590088,0.5292359999999999
2496.129883,0.530319
2501.669922,0.5312640000000001
