wavelength (nm),Blue 1
400.884766,0.093408
405.888672,0.107008
410.896851,0.11393
415.909332,0.123186
420.926147,0.130365
425.947266,0.135912
430.972687,0.139226
436.002411,0.14187
441.036438,0.144748
446.074799,0.145172
451.117432,0.147256
456.164398,0.14792
461.215668,0.146388
466.27124,0.145525
471.331116,0.143717
476.395325,0.141469
481.463806,0.139007
486.536621,0.136182
491.613739,0.133682
496.69516,0.131683
501.780914,0.128541
506.870941,0.125525
511.965302,0.122688
517.063965,0.119751
522.166931,0.116821
527.27417,0.114396
532.385742,0.111024
537.501648,0.108626
542.621826,0.106146
547.746338,0.103903
552.875183,0.101812
558.008301,0.099252
563.145691,0.097408
568.287415,0.095229
573.433472,0.09308
578.583862,0.090803
583.738525,0.08882
588.897461,0.087249
594.06073,0.085133
599.228333,0.083486
604.400208,0.082137
609.576416,0.080631
614.756958,0.078905
619.941772,0.077824
625.130859,0.076262
630.32428,0.075353
635.522034,0.074471
640.72406,0.073667
645.93042,0.072466
651.141113,0.071859
656.356079,0.071285
661.575378,0.070277
666.79895,0.070915
672.026855,0.070832
677.259033,0.070532
682.495544,0.069147
687.736389,0.069665
692.981506,0.071137
698.230957,0.070441
703.48468,0.071247
708.742737,0.07103
714.005127,0.072122
719.27179,0.071566
724.542725,0.072243
729.818054,0.072394
735.097595,0.073548
740.381531,0.074195
745.669739,0.073825
750.962219,0.07432
756.259094,0.075472
761.5601810000001,0.074331
766.865662,0.074928
772.175415,0.07558
777.489441,0.078258
782.8078,0.079668
788.130493,0.080869
793.457458,0.080845
798.788757,0.081208
804.124329,0.084221
809.464233,0.085362
814.808472,0.086149
820.156982,0.087824
825.509827,0.089698
830.866943,0.091607
836.228394,0.093273
841.594116,0.095151
846.964172,0.096257
852.338562,0.098728
857.717224,0.100341
863.10022,0.10271
868.487549,0.105714
873.87915,0.107232
879.275024,0.111091
884.675232,0.110209
890.079773,0.113914
895.488586,0.116246
900.901733,0.119549
906.319214,0.121524
911.740967,0.121523
917.166992,0.124109
922.597351,0.126149
928.032043,0.129046
933.471069,0.129218
938.914368,0.136318
944.361938,0.136246
949.813843,0.136667
955.270081,0.145273
960.730591,0.143837
966.195435,0.141293
971.664612,0.153004
977.138062,0.153543
982.615784,0.155972
988.097839,0.157699
993.584229,0.16015
999.074951,0.154899
999.25,None
1004.859985,0.198621
1010.460022,0.203977
1016.059998,0.20979699999999998
1021.659973,0.215588
1027.25,0.22131199999999998
1032.849976,0.22764099999999998
1038.449951,0.23374499999999998
1044.050049,0.24057199999999998
1049.640015,0.247586
1055.23999,0.254695
1060.829956,0.262006
1066.420044,0.26905500000000004
1072.01001,0.276939
1077.609985,0.283303
1083.199951,0.291763
1088.790039,0.300259
1094.369995,0.309028
1099.959961,0.31795999999999996
1105.550049,0.326114
1111.140015,0.335357
1116.719971,0.344875
1122.310059,0.354405
1127.890015,0.363809
1133.47998,0.37303400000000003
1139.060059,0.38278
1144.640015,0.392385
1150.219971,0.401351
1155.800049,0.41129499999999997
1161.390015,0.420522
1166.959961,0.428943
1172.540039,0.438749
1178.119995,0.44847600000000004
1183.699951,0.457171
1189.280029,0.466262
1194.849976,0.474492
1200.430054,0.483358
1206,0.492658
1211.579956,0.502506
1217.150024,0.510731
1222.719971,0.520369
1228.290039,0.529357
1233.869995,0.539365
1239.439941,0.548818
1245.01001,0.558241
1250.579956,0.5669420000000001
1256.150024,0.575969
1261.709961,0.584699
1267.280029,0.59334
1272.849976,0.6013850000000001
1278.410034,0.6096550000000001
1283.97998,0.617296
1289.550049,0.6259779999999999
1295.109985,0.6345770000000001
1300.670044,0.64245
1306.23999,0.649389
1311.800049,0.656377
1317.359985,0.66292
1322.920044,0.669043
1328.48999,0.673589
1334.050049,0.678758
1339.609985,0.684134
1345.160034,0.68738
1350.719971,0.688987
1356.280029,0.690321
1361.839966,0.689921
1367.400024,0.690146
1372.949951,0.691705
1378.51001,0.693967
1384.069946,0.695044
1389.619995,0.695915
1395.170044,0.695856
1400.72998,0.693032
1406.280029,0.687807
1411.839966,0.68135
1417.390015,0.672847
1422.939941,0.6674800000000001
1428.48999,0.66399
1434.040039,0.660453
1439.589966,0.657837
1445.140015,0.655898
1450.689941,0.655813
1456.23999,0.654604
1461.790039,0.656591
1467.339966,0.656225
1472.890015,0.65599
1478.430054,0.655449
1483.97998,0.654578
1489.530029,0.657118
1495.069946,0.658225
1500.619995,0.66142
1506.160034,0.6653359999999999
1511.709961,0.6679729999999999
1517.25,0.671574
1522.800049,0.676696
1528.339966,0.676345
1533.880005,0.6792819999999999
1539.420044,0.681496
1544.969971,0.68395
1550.51001,0.684944
1556.050049,0.689747
1561.589966,0.689616
1567.130005,0.692914
1572.670044,0.693453
1578.209961,0.69645
1583.75,0.697609
1589.290039,0.699724
1594.829956,0.7043659999999999
1600.369995,0.708864
1605.910034,0.712374
1611.439941,0.718504
1616.97998,0.723705
1622.52002,0.727
1628.050049,0.731992
1633.589966,0.733309
1639.130005,0.736553
1644.660034,0.7396020000000001
1650.199951,0.741679
1655.72998,0.744305
1661.27002,0.744472
1666.800049,0.745065
1672.339966,0.745258
1677.869995,0.744003
1683.400024,0.7385149999999999
1688.939941,0.736388
1694.469971,0.729645
1700,0.7250310000000001
1705.540039,0.720865
1711.069946,0.719498
1716.599976,0.719252
1722.130005,0.7181310000000001
1727.660034,0.715862
1733.189941,0.713253
1738.72998,0.710871
1744.26001,0.7104689999999999
1749.790039,0.707792
1755.319946,0.708717
1760.849976,0.706857
1766.380005,0.707955
1771.910034,0.707548
1777.439941,0.7075229999999999
1782.959961,0.708287
1788.48999,0.709253
1794.02002,0.708864
1799.550049,0.710484
1805.079956,0.71123
1810.609985,0.712304
1816.140015,0.710759
1821.660034,0.71129
1827.189941,0.711192
1832.719971,0.712591
1838.25,0.7136640000000001
1843.77002,0.7153079999999999
1849.300049,0.717325
1854.829956,0.719254
1860.349976,0.720055
1865.880005,0.719266
1871.410034,0.715938
1876.930054,0.711869
1882.459961,0.708055
1887.98999,0.699839
1893.51001,0.68498
1899.040039,0.665968
1904.560059,0.640533
1910.089966,0.616103
1915.609985,0.596655
1921.140015,0.584267
1926.670044,0.575186
1932.189941,0.571655
1937.719971,0.5709569999999999
1943.23999,0.570651
1948.77002,0.572979
1954.290039,0.578697
1959.819946,0.584702
1965.339966,0.5910770000000001
1970.869995,0.597763
1976.390015,0.604421
1981.920044,0.610352
1987.439941,0.616526
1992.959961,0.623045
1998.48999,0.6294029999999999
2004.01001,0.634145
2009.540039,0.637508
2015.060059,0.6395489999999999
2020.589966,0.6407
2026.109985,0.6391819999999999
2031.640015,0.635767
2037.160034,0.63098
2042.689941,0.62462
2048.209961,0.616762
2053.72998,0.608507
2059.26001,0.599558
2064.780029,0.591851
2070.310059,0.582967
2075.830078,0.57697
2081.360107,0.5717439999999999
2086.879883,0.567963
2092.409912,0.564723
2097.929932,0.561869
2103.459961,0.560297
2108.97998,0.55953
2114.51001,0.560579
2120.030029,0.563525
2125.560059,0.56807
