wavelength (nm),Green 2
400.884766,0.066221
405.888672,0.067333
410.896851,0.069299
415.909332,0.069186
420.926147,0.071935
425.947266,0.071503
430.972687,0.071162
436.002411,0.071405
441.036438,0.072601
446.074799,0.071644
451.117432,0.073583
456.164398,0.075008
461.215668,0.076695
466.27124,0.077515
471.331116,0.079061
476.395325,0.081815
481.463806,0.084837
486.536621,0.088588
491.613739,0.093024
496.69516,0.098502
501.780914,0.105457
506.870941,0.114122
511.965302,0.123904
517.063965,0.135266
522.166931,0.146092
527.27417,0.156345
532.385742,0.165797
537.501648,0.171526
542.621826,0.175051
547.746338,0.177347
552.875183,0.178345
558.008301,0.17763
563.145691,0.175131
568.287415,0.173798
573.433472,0.171388
578.583862,0.168574
583.738525,0.165558
588.897461,0.163328
594.06073,0.160963
599.228333,0.159615
604.400208,0.157473
609.576416,0.15535
614.756958,0.153202
619.941772,0.151311
625.130859,0.149695
630.32428,0.148967
635.522034,0.147329
640.72406,0.145731
645.93042,0.144345
651.141113,0.143649
656.356079,0.142847
661.575378,0.142469
666.79895,0.142336
672.026855,0.141717
677.259033,0.141672
682.495544,0.142336
687.736389,0.142458
692.981506,0.14326
698.230957,0.144445
703.48468,0.143713
708.742737,0.144684
714.005127,0.145855
719.27179,0.146744
724.542725,0.146274
729.818054,0.145894
735.097595,0.147743
740.381531,0.147842
745.669739,0.148954
750.962219,0.150012
756.259094,0.151286
761.5601810000001,0.15202
766.865662,0.15534
772.175415,0.155862
777.489441,0.157877
782.8078,0.159006
788.130493,0.163554
793.457458,0.163348
798.788757,0.165779
804.124329,0.17027
809.464233,0.17034
814.808472,0.173676
820.156982,0.178253
825.509827,0.17919
830.866943,0.183234
836.228394,0.186365
841.594116,0.191504
846.964172,0.191005
852.338562,0.195759
857.717224,0.200611
863.10022,0.204731
868.487549,0.207851
873.87915,0.209836
879.275024,0.215056
884.675232,0.216231
890.079773,0.218459
895.488586,0.223186
900.901733,0.227634
906.319214,0.230967
911.740967,0.23632
917.166992,0.238392
922.597351,0.241516
928.032043,0.246792
933.471069,0.253529
938.914368,0.257395
944.361938,0.260849
949.813843,0.263122
955.270081,0.26609
960.730591,0.272786
966.195435,0.275257
971.664612,0.280037
977.138062,0.286346
982.615784,0.291786
988.097839,0.299257
993.584229,0.296486
999.074951,0.310004
None,None
999.25,0.362167
1004.859985,0.370568
1010.460022,0.376627
1016.059998,0.385366
1021.659973,0.39253000000000005
1027.25,0.40016199999999996
1032.849976,0.409134
1038.449951,0.416897
1044.050049,0.424525
1049.640015,0.432205
1055.23999,0.43908
1060.829956,0.44823100000000005
1066.420044,0.45604399999999995
1072.01001,0.46384
1077.609985,0.47188100000000005
1083.199951,0.479813
1088.790039,0.488256
1094.369995,0.496493
1099.959961,0.504969
1105.550049,0.5120140000000001
1111.140015,0.5202600000000001
1116.719971,0.528519
1122.310059,0.536741
1127.890015,0.544126
1133.47998,0.552361
1139.060059,0.55979
1144.640015,0.566917
1150.219971,0.5734739999999999
1155.800049,0.58118
1161.390015,0.587537
1166.959961,0.594067
1172.540039,0.600431
1178.119995,0.607114
1183.699951,0.6141270000000001
1189.280029,0.6194109999999999
1194.849976,0.62562
1200.430054,0.6308060000000001
1206,0.636292
1211.579956,0.641833
1217.150024,0.647861
1222.719971,0.653864
1228.290039,0.6600699999999999
1233.869995,0.665142
1239.439941,0.670667
1245.01001,0.6746300000000001
1250.579956,0.679451
1256.150024,0.684203
1261.709961,0.688218
1267.280029,0.692982
1272.849976,0.698138
1278.410034,0.701659
1283.97998,0.7063020000000001
1289.550049,0.709691
1295.109985,0.713928
1300.670044,0.718255
1306.23999,0.721244
1311.800049,0.724671
1317.359985,0.727018
1322.920044,0.7305550000000001
1328.48999,0.732791
1334.050049,0.734753
1339.609985,0.736304
1345.160034,0.7378859999999999
1350.719971,0.738877
1356.280029,0.7379399999999999
1361.839966,0.738206
1367.400024,0.739554
1372.949951,0.740927
1378.51001,0.741107
1384.069946,0.74078
1389.619995,0.739961
1395.170044,0.738568
1400.72998,0.736513
1406.280029,0.7324430000000001
1411.839966,0.728433
1417.390015,0.724537
1422.939941,0.719851
1428.48999,0.712888
1434.040039,0.707015
1439.589966,0.702233
1445.140015,0.69858
1450.689941,0.701592
1456.23999,0.70778
1461.790039,0.7136359999999999
1467.339966,0.715993
1472.890015,0.717857
1478.430054,0.720395
1483.97998,0.721997
1489.530029,0.724481
1495.069946,0.7280760000000001
1500.619995,0.729085
1506.160034,0.731108
1511.709961,0.731078
1517.25,0.733414
1522.800049,0.735073
1528.339966,0.736716
1533.880005,0.738574
1539.420044,0.73921
1544.969971,0.7396739999999999
1550.51001,0.741444
1556.050049,0.742788
1561.589966,0.74288
1567.130005,0.743367
1572.670044,0.744394
1578.209961,0.7468779999999999
1583.75,0.748911
1589.290039,0.749934
1594.829956,0.750739
1600.369995,0.753293
1605.910034,0.7562479999999999
1611.439941,0.7573439999999999
1616.97998,0.75825
1622.52002,0.758662
1628.050049,0.759898
1633.589966,0.759904
1639.130005,0.762034
1644.660034,0.762133
1650.199951,0.760317
1655.72998,0.759872
1661.27002,0.759074
1666.800049,0.756545
1672.339966,0.757692
1677.869995,0.757301
1683.400024,0.756229
1688.939941,0.752864
1694.469971,0.750826
1700,0.747896
1705.540039,0.7476550000000001
1711.069946,0.7475149999999999
1716.599976,0.746913
1722.130005,0.744528
1727.660034,0.742636
1733.189941,0.739727
1738.72998,0.7382310000000001
1744.26001,0.737971
1749.790039,0.736326
1755.319946,0.735834
1760.849976,0.7354569999999999
1766.380005,0.734796
1771.910034,0.735371
1777.439941,0.734312
1782.959961,0.734379
1788.48999,0.734612
1794.02002,0.736218
1799.550049,0.734399
1805.079956,0.734966
1810.609985,0.7348180000000001
1816.140015,0.735055
1821.660034,0.73478
1827.189941,0.7348520000000001
1832.719971,0.734136
1838.25,0.73453
1843.77002,0.736275
1849.300049,0.737356
1854.829956,0.737946
1860.349976,0.7376060000000001
1865.880005,0.735455
1871.410034,0.7319220000000001
1876.930054,0.727113
1882.459961,0.7206819999999999
1887.98999,0.709899
1893.51001,0.696122
1899.040039,0.677991
1904.560059,0.657776
1910.089966,0.640508
1915.609985,0.630925
1921.140015,0.625746
1926.670044,0.623892
1932.189941,0.621749
1937.719971,0.622378
1943.23999,0.623221
1948.77002,0.625721
1954.290039,0.628292
1959.819946,0.631003
1965.339966,0.635146
1970.869995,0.640278
1976.390015,0.64365
1981.920044,0.648246
1987.439941,0.652355
1992.959961,0.655378
1998.48999,0.65901
2004.01001,0.663375
2009.540039,0.665748
2015.060059,0.66773
2020.589966,0.670021
2026.109985,0.671419
2031.640015,0.669482
2037.160034,0.6690550000000001
2042.689941,0.668658
2048.209961,0.665946
2053.72998,0.663393
2059.26001,0.660091
2064.780029,0.6568649999999999
2070.310059,0.656852
2075.830078,0.655734
2081.360107,0.6542640000000001
2086.879883,0.6531399999999999
2092.409912,0.652089
2097.929932,0.652638
